n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
400,8.984615384615383,0.013375150834894003,25.0,2.0,52620.5,42704.5,0.0,0.0,1.0,0.0
400,9.238461538461538,0.01322355392642988,27.0,2.0,45373.0,53515.5,0.0,0.0,1.0,0.0
400,9.492307692307692,-0.01569840347590616,27.0,2.0,50280.5,46015.5,0.0,0.0,1.0,0.0
400,9.746153846153845,-0.010353621743928752,27.0,2.0,51817.0,53165.5,0.0,0.0,1.0,0.0
400,10.0,0.001507748101000217,27.0,2.0,53082.5,53052.0,0.0,0.0,1.0,0.0
800,0.1,-0.7045875093305334,733.5,1.0,48924.5,48984.5,0.0,1.0,0.0,0.0
800,0.3538461538461538,-0.7043184356200205,121.0,2.0,57571.5,52230.0,0.0,0.0,1.0,0.0
800,0.6076923076923076,-0.7047504182381673,90.5,2.0,52088.5,47125.0,0.0,0.0,1.0,0.0
800,0.8615384615384615,-0.7010497784186104,117.0,2.0,50080.5,48741.0,0.0,0.0,1.0,0.0
800,1.1153846153846154,-0.6910959838523252,164.5,2.0,44211.5,47775.0,0.0,0.0,1.0,0.0
800,1.3692307692307693,-0.6659399863139115,286.5,4.0,46844.0,44397.0,0.0,0.0,0.0,1.0
800,1.623076923076923,-0.626674522348396,422.5,6.0,51289.0,48002.0,0.0,0.0,0.0,1.0
800,1.876923076923077,-0.5748911762608928,931.5,6.0,46525.0,51152.5,0.0,0.0,0.0,1.0
800,2.1307692307692307,-0.49914507558261756,1746.0,12.0,46555.5,46150.0,0.0,0.0,0.0,1.0
800,2.3846153846153846,-0.4019031032464744,2868.5,17.0,49258.0,47215.5,0.0,0.0,0.0,1.0
800,2.6384615384615384,-0.28983458789476974,3381.0,11.0,49261.5,46075.5,0.0,0.0,0.0,1.0
800,2.8923076923076922,-0.15463314491484426,1603.0,8.0,46167.0,46423.0,0.0,0.0,0.0,1.0
800,3.146153846153846,-0.058501072614401045,239.5,6.0,43788.5,45913.5,0.0,0.0,0.0,1.0
800,3.4,-0.04649952100056012,95.0,4.0,50400.5,53447.0,0.0,0.0,0.0,1.0
800,3.6538461538461537,-0.028549256540254878,64.0,2.0,50281.5,42593.5,0.0,0.0,1.0,0.0
800,3.9076923076923076,0.008850925035576222,49.0,2.0,49421.0,49507.5,0.0,0.0,1.0,0.0
800,4.161538461538461,-0.008572220876204854,44.0,2.0,58125.0,55260.5,0.0,0.0,1.0,0.0
800,4.415384615384615,0.005759926023854148,41.0,2.0,53469.0,47419.5,0.0,0.0,1.0,0.0
800,4.669230769230769,-0.011625545679979601,41.0,2.0,43176.0,54288.5,0.0,0.0,1.0,0.0
800,4.9230769230769225,-0.0050808742017266805,39.0,2.0,50365.5,46161.0,0.0,0.0,1.0,0.0
800,5.176923076923076,0.01812195321163643,39.0,2.0,50519.5,48366.0,0.0,0.0,1.0,0.0
800,5.43076923076923,0.0036607398995219835,41.0,2.0,48466.5,49167.5,0.0,0.0,1.0,0.0
