n,h,energy,transient,c,seed_J,seed_x,e1,e2
100,-0.2831460674157303,0.6124087193777892,12.09,2.0,48832.12375,50297.505,0.6129468857765479,0.6125477701660217
100,-0.2764044943820224,0.5985950201460496,12.2825,2.0,51243.69375,47814.985,0.59878116080741,0.5994060094598774
100,-0.2696629213483146,0.6103413459424224,12.75875,2.0,50831.70625,51711.69625,0.6100619457183404,0.6106083058711063
100,-0.26292134831460673,0.6033363224304673,12.55125,2.0,51133.005,50280.615,0.6038399588932731,0.6037830594007985
100,-0.25617977528089886,0.6037487969295756,13.03375,2.0,51519.9175,50408.405,0.6041875220693427,0.6048481983932178
100,-0.249438202247191,0.5899043648794882,13.3175,2.0,49566.77625,50896.6525,0.5900918089721717,0.5897247989041083
100,-0.24269662921348312,0.5885636848722299,13.46,2.0,50601.3325,50586.89125,0.5880708269732478,0.5887437132908839
100,-0.23595505617977525,0.5722363509694215,13.69375,2.0,50182.24125,49595.87125,0.5692778931316973,0.5702188917725683
100,-0.22921348314606738,0.5753318107275286,13.9925,2.0,50815.5125,49733.01875,0.5757499614366626,0.5768825742233498
100,-0.2224719101123595,0.5633073033131389,14.015,2.0,51436.9675,48945.37125,0.5633584688414833,0.5646289243412606
100,-0.21573033707865163,0.5468554802944562,14.26,2.0,49911.75375,50122.1425,0.54944575404555,0.5503065762043199
100,-0.20898876404494376,0.5344244679480704,14.495,2.0,49782.9675,52055.96625,0.5333279510638841,0.5357696755961711
100,-0.20224719101123595,0.5314665829554012,14.295,2.0,50635.86875,49504.98625,0.5290070080180521,0.5324657085973424
100,-0.19550561797752808,0.5185960918932156,14.48,2.0,51084.27125,50745.5575,0.5173232347198038,0.5189390469608243
100,-0.1887640449438202,0.5035784090766992,14.905,2.0,52272.89,48867.08625,0.5031128718746078,0.5051746559812113
100,-0.18202247191011234,0.4922304912795161,14.59125,2.0,51260.97625,51170.795,0.49207736424294685,0.49693770916149593
100,-0.17528089887640447,0.48641773310555464,15.31375,2.0,50520.23125,49800.90625,0.48827458286963854,0.48967558048518295
100,-0.1685393258426966,0.4731697598137321,15.1175,2.0,52010.2775,51280.24875,0.4705241059364058,0.4729478366561767
100,-0.16179775280898873,0.45710533096802825,15.1675,2.0,52297.83,49830.485,0.4552589313722395,0.4579624302370807
100,-0.15505617977528086,0.4298572338235401,15.11625,2.0,52104.14875,47652.76375,0.43125585075811174,0.43211991048191095
100,-0.14831460674157299,0.410467618744428,15.085,2.0,49655.925,50364.55625,0.40562717963278927,0.4081040107391589
100,-0.14157303370786511,0.3996911906686302,14.88,2.0,49046.08125,49916.015,0.39771370465428585,0.399769688292762
100,-0.13483146067415724,0.36833711076564396,14.56875,2.0,48454.07125,49395.84,0.3652939005650051,0.3677451233610004
100,-0.12808988764044943,0.36033602596931175,14.975,2.0,47855.76,48819.6575,0.36082240432977564,0.3629048847874105
100,-0.12134831460674156,0.32990086054521794,14.89375,2.0,49942.53,48771.37125,0.32637573562570527,0.3286065085562266
100,-0.11460674157303369,0.3063074908602022,14.5775,2.0,49823.40625,49336.99,0.3009141567482172,0.3056379966978216
100,-0.10786516853932582,0.29566463089310263,14.79125,2.0,50082.91125,49088.32125,0.29473502718145583,0.2959892772886045
100,-0.10112359550561795,0.2867244441951481,14.7375,2.0,50199.9675,48491.6225,0.28642097761408564,0.28761211384357704
100,-0.09438202247191008,0.2804597515658278,14.6775,2.0,50549.695,50384.05125,0.2805006602687656,0.2828940473779903
100,-0.08764044943820226,0.24693375116032099,14.18375,2.0,49010.1525,50357.73375,0.24529102669329925,0.2443618486465808
100,-0.08089887640449434,0.24059323854886044,14.29625,2.0,49482.1875,50514.40375,0.24266620263184416,0.24180739097311846
100,-0.07415730337078652,0.21861465163598054,14.07875,2.0,49767.9625,49068.15125,0.21984473901378368,0.22552606196176647
100,-0.0674157303370786,0.18638917658564336,14.21625,2.0,51795.055,50256.575,0.18048546283006786,0.1829328637338852
100,-0.06067415730337078,0.171414807352824,14.4175,2.0,50060.3575,48614.35,0.1723268788977452,0.17476954026121064
100,-0.05393258426966285,0.14364983129445763,14.0525,2.0,50474.95375,51854.60625,0.14361110155197185,0.1460300654498012
100,-0.04719101123595504,0.12961233974909406,14.0,2.0,49561.91125,51599.9625,0.1317170653629594,0.13108660248649498
100,-0.04044943820224711,0.1027933334647018,13.99875,2.0,50949.475,50456.65,0.103449174026263,0.10804439625971299
100,-0.0337078651685393,0.08979853758761239,13.5775,2.0,49539.78375,47429.12125,0.08594012252104583,0.08822777686896417
100,-0.02696629213483137,0.08425326846853118,14.16,2.0,49061.9425,50696.78625,0.08518980229556429,0.08514814520280499
100,-0.020224719101123556,0.0576141383705893,14.33625,2.0,50625.65625,50396.46875,0.0546991945748174,0.054947765193301905
100,-0.013483146067415741,0.04289132185946221,14.19375,2.0,49344.29375,49049.8225,0.044323622844617896,0.0420773458934909
100,-0.006741573033707815,0.005429139323812346,14.41875,2.0,48786.20625,49838.10875,0.006486424280300237,0.0074116742750612525
100,0.0,0.007423503322373837,14.0875,2.0,51215.525,48340.0175,0.012206990092449254,0.017262961983393624
100,0.006896551724137932,-0.013871202738071069,13.8725,2.0,48623.8525,50065.02625,,
100,0.013793103448275864,-0.04271026825790987,13.8975,2.0,50021.5125,50730.755,,
100,0.020689655172413796,-0.053302919328469936,13.9875,2.0,51734.91875,50408.8575,,
100,0.027586206896551727,-0.08236350986326087,13.9675,1.99875,50835.15375,50462.02875,,
100,0.03448275862068966,-0.0821706005555344,14.03625,1.99875,48366.80125,49998.02875,,
100,0.04137931034482759,-0.12271930537852692,14.4,1.99625,48797.6375,48717.175,,
100,0.048275862068965524,-0.13309043655473843,14.33125,1.9875,49789.41625,49684.67125,,
100,0.055172413793103454,-0.1568114716746601,14.08,1.99375,49719.4925,49371.72375,,
100,0.062068965517241385,-0.168333326630706,14.155,1.99375,49350.52625,50665.885,,
