n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
800,2.1307692307692307,-0.4969117335674101,3426.01875,135.74436090225564,48762.775,47746.2875,0.16875,0.0,0.14375,0.6875
800,2.3846153846153846,-0.3955948111519568,4618.025,169.16071428571428,47017.025,47134.15,0.3,0.0,0.05625,0.64375
800,2.6384615384615384,-0.277360157988032,4777.2125,256.8,49534.6,48253.68125,0.3125,0.0,0.11875,0.56875
800,2.8923076923076922,-0.1491818394674707,3699.1125,275.8,47890.6125,47232.625,0.25,0.0,0.125,0.625
800,3.146153846153846,-0.06830323677024548,1007.75,54.83870967741935,47384.85,49745.56875,0.03125,0.0,0.25,0.71875
800,3.4,-0.035667952106865054,195.4625,8.875,49546.875,51718.85,0.0,0.0,0.4625,0.5375
800,3.6538461538461537,-0.022477779782823983,71.70625,3.1375,50172.79375,46334.8125,0.0,0.0,0.74375,0.25625
800,3.9076923076923076,0.0052920925235714076,54.94375,2.3125,48705.78125,49362.53125,0.0,0.0,0.875,0.125
800,4.161538461538461,-0.009233367631554513,47.05,2.1375,53965.38125,55594.65625,0.0,0.0,0.93125,0.06875
800,4.415384615384615,-0.0020343157062869366,43.6125,2.0,51138.46875,47566.1875,0.0,0.0,1.0,0.0
800,4.669230769230769,-0.005766341309200684,44.725,2.0125,48510.86875,53720.3875,0.0,0.0,0.99375,0.00625
800,4.9230769230769225,-0.004955389778993567,42.0625,2.0,50582.0,48956.25,0.0,0.0,1.0,0.0
800,5.176923076923076,0.013638865541154076,41.575,2.0125,50556.1875,49596.175,0.0,0.0,0.99375,0.00625
800,5.43076923076923,0.014398637921416357,43.0875,2.0,49525.58125,47336.24375,0.0,0.0,1.0,0.0
800,5.684615384615384,0.014787877449888593,41.625,2.0,50282.45,52277.1375,0.0,0.0,1.0,0.0
800,5.938461538461538,-0.006332368737793738,44.9125,2.0,43928.0,51853.36875,0.0,0.0,1.0,0.0
800,6.192307692307692,0.006907657839408135,43.6875,2.0,46963.925,49535.6125,0.0,0.0,1.0,0.0
800,6.4461538461538455,-0.007347437285095608,44.575,2.0,53216.55,50036.6,0.0,0.0,1.0,0.0
800,6.699999999999999,0.004834808920032211,43.575,2.0,41351.68125,50498.1625,0.0,0.0,1.0,0.0
800,6.953846153846153,0.0012648261631486603,43.8875,2.0,45584.6,52314.13125,0.0,0.0,1.0,0.0
800,7.207692307692307,-0.0040001720296306545,44.85,2.0,46587.75625,48571.2,0.0,0.0,1.0,0.0
800,7.461538461538461,-0.0009032027328637248,43.4125,2.0,47031.85625,50714.96875,0.0,0.0,1.0,0.0
800,7.715384615384615,-0.012326878674711368,44.35,2.0,50615.10625,48605.9125,0.0,0.0,1.0,0.0
800,7.9692307692307685,-0.00726479433765063,43.4,2.0,49905.575,48406.45625,0.0,0.0,1.0,0.0
800,8.223076923076922,-0.013457334466068074,42.25,2.0,49271.2375,53061.6,0.0,0.0,1.0,0.0
800,8.476923076923077,0.0002796947836061915,43.6625,2.0,53736.7875,50166.8875,0.0,0.0,1.0,0.0
800,8.73076923076923,-0.016819004636638234,43.6125,2.0,50397.51875,50372.79375,0.0,0.0,1.0,0.0
800,8.984615384615383,0.008374883970297505,42.4875,2.0,51115.41875,50818.8375,0.0,0.0,1.0,0.0
800,9.238461538461538,-0.015932117918552976,43.975,2.0,49456.24375,44034.78125,0.0,0.0,1.0,0.0
800,9.492307692307692,-9.816456255491434e-05,43.9625,2.0,49735.2875,51273.8625,0.0,0.0,1.0,0.0
800,9.746153846153845,-0.016601803676086234,42.0875,2.0,53468.31875,54690.4375,0.0,0.0,1.0,0.0
800,10.0,-0.00570058865379596,43.4,2.0,47924.98125,53516.325,0.0,0.0,1.0,0.0
1000,0.02,-0.19502067619284275,1688.90625,1.003125,48892.7203125,51020.4609375,0.0,0.996875,0.003125,0.0
1000,0.04,-0.625115672002825,2660.990625,1.0328125,50633.184375,50319.221875,0.0,0.96875,0.0296875,0.0015625
1000,0.08,-0.7069599430943441,1085.5734375,1.1515625,48658.0625,49712.9328125,0.0,0.8828125,0.1,0.0171875
1000,0.1,-0.7077355248696681,751.89375,1.29375,51810.4,50657.2625,0.0,0.78125,0.16875,0.05
1000,0.3538461538461538,-0.7061918428486847,134.08125,1.95625,48906.7875,50501.275,0.0,0.33125,0.6,0.06875
1000,0.6076923076923076,-0.7077061487835137,113.21875,2.9125,54791.35625,50176.9,0.0,0.0125,0.75,0.2375
1000,0.8615384615384615,-0.7027885355761515,182.29375,3.65,52075.70625,51043.59375,0.0,0.0,0.625,0.375
1000,1.1153846153846154,-0.690353872745655,445.31875,13.925,52777.96875,51314.50625,0.0,0.0,0.4,0.6
1000,1.3692307692307693,-0.6663188184452766,850.05,89.61783439490446,52383.59375,48799.25625,0.01875,0.0,0.2875,0.69375
1000,1.623076923076923,-0.631410390707013,1800.86875,82.71895424836602,49838.44375,52499.65,0.04375,0.0,0.20625,0.75
1000,1.876923076923077,-0.5730346823740778,3176.0875,244.49253731343285,51994.66875,53302.83125,0.1625,0.0,0.1375,0.7
1000,2.1307692307692307,-0.495116035929557,5737.30625,236.82105263157894,48441.51875,48336.85625,0.40625,0.0,0.1125,0.48125
1000,2.3846153846153846,-0.39220704291816794,6572.3,373.1294117647059,51056.8125,49294.78125,0.46875,0.0,0.05,0.48125
1000,2.6384615384615384,-0.2847984950525581,6366.9,337.30232558139534,47802.24375,51865.45,0.4625,0.0,0.05,0.4875
1000,2.8923076923076922,-0.15565021355944814,4993.31875,287.0495049504951,51484.2,44237.5625,0.36875,0.0,0.06875,0.5625
1000,3.146153846153846,-0.06038495981913171,2409.2125,69.52592592592593,49734.05625,50633.1125,0.15625,0.0,0.1875,0.65625
1000,3.4,-0.01786481652294339,241.88125,12.95,50306.8625,46815.15625,0.0,0.0,0.38125,0.61875
1000,3.6538461538461537,-0.01568996267331501,88.225,3.0,47400.41875,49697.6,0.0,0.0,0.7,0.3
1000,3.9076923076923076,-0.014132237382643562,62.86875,2.3375,48834.8875,51950.93125,0.0,0.0,0.8625,0.1375
1000,4.161538461538461,0.0011311628197501953,53.96875,2.1875,50241.2625,48230.30625,0.0,0.0,0.91875,0.08125
1000,4.415384615384615,0.004334521745907248,52.9,2.0375,53993.4875,48600.71875,0.0,0.0,0.98125,0.01875
1000,4.669230769230769,-0.015453116814297396,50.675,2.0125,52062.9,50587.1125,0.0,0.0,0.99375,0.00625
1000,4.9230769230769225,0.009833760267952055,52.2125,2.05,49461.1375,52708.6625,0.0,0.0,0.9875,0.0125
1000,5.176923076923076,0.0012838515925310758,47.4375,2.0,49572.51875,50487.35,0.0,0.0,1.0,0.0
1000,5.43076923076923,-0.0015790704458720367,50.125,2.0,50576.76875,49830.95,0.0,0.0,1.0,0.0
1000,5.684615384615384,0.0024976826433345525,49.675,2.0,49652.2375,46907.75,0.0,0.0,1.0,0.0
1000,5.938461538461538,-0.005143584790243431,49.9375,2.0,54627.13125,49239.64375,0.0,0.0,1.0,0.0
1000,6.192307692307692,-0.010583588341689154,49.975,2.0,49815.71875,53887.5875,0.0,0.0,1.0,0.0
1000,6.4461538461538455,-0.015324474540964408,51.9375,2.0,52139.975,51358.35,0.0,0.0,1.0,0.0
1000,6.699999999999999,-0.008009364206607828,48.9,2.0,50881.34375,48286.2125,0.0,0.0,1.0,0.0
1000,6.953846153846153,0.014717342998262073,48.3875,2.0,49756.4375,46710.75625,0.0,0.0,1.0,0.0
1000,7.207692307692307,0.0020670933470217185,48.4375,2.0,51181.05,46749.35,0.0,0.0,1.0,0.0
1000,7.461538461538461,-0.006650409271762933,51.05,2.0,47038.7375,52634.08125,0.0,0.0,1.0,0.0
1000,7.715384615384615,-0.010605025456256011,50.3625,2.0,51500.60625,49180.175,0.0,0.0,1.0,0.0
1000,7.9692307692307685,0.0033085728794205157,51.0375,2.0,50079.31875,50196.45,0.0,0.0,1.0,0.0
1000,8.223076923076922,-0.0129131401067335,49.9875,2.0,48313.625,51649.98125,0.0,0.0,1.0,0.0
1000,8.476923076923077,-0.0034967626742393545,52.15,2.0,51550.48125,45649.01875,0.0,0.0,1.0,0.0
1000,8.73076923076923,-0.005205405743214807,49.2,2.0,48145.40625,49476.81875,0.0,0.0,1.0,0.0
1000,8.984615384615383,0.007828358987116644,52.5,2.0,50050.475,50452.5625,0.0,0.0,1.0,0.0
1000,9.238461538461538,-0.004839460319016525,50.225,2.0,50961.725,48077.85625,0.0,0.0,1.0,0.0
1000,9.492307692307692,-0.007045533191180915,49.9375,2.0,46990.64375,48462.9875,0.0,0.0,1.0,0.0
1000,9.746153846153845,0.00405198003249429,52.775,2.0,52723.01875,47342.29375,0.0,0.0,1.0,0.0
1000,10.0,0.008047980966492691,50.1375,2.0,47056.825,47069.1875,0.0,0.0,1.0,0.0
