h,energy_0,energy_1,energy_2,energy_3,energy_4,energy_5,energy_6,energy_10,energy_20,energy_50,energy_150,energy_390
0.32653061224489793,-0.0003219562429082158,-0.1943304310265729,-0.32467118925156513,-0.417984675844256,-0.4870553249721993,-0.5388738096862145,-0.5770661614806588,-0.628813077032034,-0.6381151443850372,,,
0.3469387755102041,-0.000466861223087122,-0.205079771065152,-0.34055221851233464,-0.4370946806158999,-0.5066039604827551,-0.5564845119421694,-0.5902362464171924,-0.6236656621929221,-0.6311064789766697,,,
0.36734693877551017,0.0001906830709709094,-0.2137311376864612,-0.35445059476241153,-0.4527354743912697,-0.5213023062564263,-0.5678982421269191,-0.5956578461246711,-0.6180074019527344,-0.6255487247485854,,,
0.3877551020408163,-0.00013528877278042188,-0.22403566623198315,-0.36955968305096515,-0.4687302298810002,-0.5353378695217743,-0.5765174848986,-0.5970529314854002,-0.6121050118954879,-0.6212255012015802,,,
0.4081632653061224,5.259849355518429e-05,-0.23218930037609953,-0.38110000125533905,-0.48084929524677916,-0.5443668475239798,-0.5795388985582253,-0.5941445248584479,-0.6059630219221879,-0.6140178504268226,,,
0.42857142857142855,-0.00010594699165141619,-0.24095946031212223,-0.3937802347229928,-0.4924783064125786,-0.5511702170458687,-0.5796732444636835,-0.5900430060326485,-0.6002852899337576,-0.6069846711614406,,,
0.44897959183673464,-0.00032946539886419604,-0.2501830741465202,-0.40530547240786396,-0.5019757465814975,-0.55545287299519,-0.5775580640998847,-0.5856629968007653,-0.5946904655217548,-0.6033910215388874,,,
0.4693877551020408,-5.675623332449625e-05,-0.2584544238441574,-0.4154115350780608,-0.5091917807026378,-0.5560575897191282,-0.5731219186456056,-0.5799522292791441,-0.5884653032505714,-0.5926040883524133,,,
0.4897959183673469,0.00011998061771181734,-0.2649118311097268,-0.4236322653458949,-0.5142214223181926,-0.5551673672332343,-0.568977089391291,-0.574983919184823,-0.582921570360323,-0.5945869766801798,,,
0.5102040816326531,-0.0004012868850391431,-0.27363014491409265,-0.4328240920682843,-0.5180125892588892,-0.5522099076181337,-0.5637544948649698,-0.569236604412557,-0.5767361014952658,-0.5846690856529413,,,
0.5306122448979591,6.2473810134824e-05,-0.2796175455111278,-0.4392538377105577,-0.5194871225311166,-0.5482978441290082,-0.5586475966034778,-0.5636999675736935,-0.5709531645036721,-0.5823407810179247,,,
0.5510204081632653,0.0001954013841315552,-0.2861004013143398,-0.4449940334878152,-0.5199516237649374,-0.5444901140063518,-0.553787387717621,-0.5583393732076786,-0.565454029149607,-0.5711310732884348,,,
0.5714285714285714,-5.823758561785889e-06,-0.29244060539849787,-0.4499527507303253,-0.5185920505467774,-0.5395506922831409,-0.5481173132761453,-0.5525002737260303,-0.559683407573801,-0.5633287367951023,,,
0.5918367346938775,-0.00015200636028285286,-0.2993438669518467,-0.454279040407297,-0.5164522739008368,-0.5350472838231156,-0.5428303170430406,-0.5468560451242974,-0.5534830208552756,-0.560619338456674,,,
